PSR_ID,PSR_Ref,PSR_Amount,PSR_Invoice,PSR_Counterparty,PSR_Date,PSR_Currency,PSR_Direction,CAMT_NtryId,CAMT_EndToEndId,CAMT_Amount,CAMT_Counterparty,CAMT_Remittance,CAMT_Date,CAMT_ValueDate,CAMT_BookingDate,CAMT_Currency,CAMT_Direction,Scenario,Expected_Match_Type
PSR-000094,PMT-REF-000094,40424.86,INV-29313,Acme Supply,2025-01-24,USD,CR,NTRY-000094,E2E-577538,40424.86,Acme Supply Holdings,Payment advice 740967 ref 2193,2025-01-24,2025-01-24,2025-01-24,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000095,PMT-REF-000095,21014.83,INV-92544,Cascade Trading,2025-04-16,GBP,CR,NTRY-000095,E2E-355836,21014.83,Cascade Trading LLC,Payment advice 618392 ref 7547,2025-04-16,2025-04-16,2025-04-16,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000096,PMT-REF-000096,7804.78,INV-10726,Pacific Imports,2025-08-22,USD,CR,NTRY-000096,E2E-587115,7804.78,Pacific Imports Corp,Payment advice 943170 ref 9486,2025-08-22,2025-08-22,2025-08-22,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000097,PMT-REF-000097,2985.81,INV-42662,Pacific Imports,2025-09-10,USD,CR,NTRY-000097,E2E-686075,2985.81,Pacific Imports Holdings,Payment advice 800005 ref 9702,2025-09-10,2025-09-10,2025-09-10,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000098,PMT-REF-000098,29974.89,INV-68008,Nexus Partners,2025-10-07,EUR,CR,NTRY-000098,E2E-879779,29974.89,Nexus Partners SA,Payment advice 567574 ref 3607,2025-10-07,2025-10-07,2025-10-07,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000099,PMT-REF-000099,43144.0,INV-68991,Sterling Partners,2025-05-15,GBP,CR,NTRY-000099,E2E-608136,43144.0,Sterling Partners Partners,Payment advice 903013 ref 9540,2025-05-15,2025-05-15,2025-05-15,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000100,PMT-REF-000100,31524.05,INV-45992,Redwood Corp,2025-02-12,GBP,CR,NTRY-000100,E2E-452161,31524.05,Redwood Corp Partners,Payment advice 345884 ref 5451,2025-02-12,2025-02-12,2025-02-12,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000101,PMT-REF-000101,16325.62,INV-80798,Global Logistics,2025-03-15,USD,CR,NTRY-000101,E2E-840734,16325.62,Global Logistics Group,Payment advice 501641 ref 3503,2025-03-15,2025-03-15,2025-03-15,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000102,PMT-REF-000102,11090.67,INV-64377,Pinnacle Group,2025-07-02,GBP,CR,NTRY-000102,E2E-316881,11090.67,Pinnacle Group Holdings,Payment advice 535970 ref 2020,2025-07-02,2025-07-02,2025-07-02,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000103,PMT-REF-000103,41728.11,INV-61049,Cascade Trading,2025-01-11,GBP,CR,NTRY-000103,E2E-468845,41728.11,Cascade Trading LLC,Payment advice 600149 ref 1096,2025-01-11,2025-01-11,2025-01-11,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000104,PMT-REF-000104,15281.33,INV-61116,Pinnacle Group,2025-10-24,GBP,CR,NTRY-000104,E2E-611945,15281.33,Pinnacle Group SA,Payment advice 938722 ref 4613,2025-10-24,2025-10-24,2025-10-24,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000105,PMT-REF-000105,11361.37,INV-67125,Silver Stream Ltd,2025-01-15,EUR,CR,NTRY-000105,E2E-859359,11361.37,Silver Stream Ltd Co,Payment advice 801364 ref 7624,2025-01-15,2025-01-15,2025-01-15,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000106,PMT-REF-000106,8669.71,INV-71261,Northern Star Corp,2025-12-11,GBP,CR,NTRY-000106,E2E-188025,8669.71,Northern Star Corp Ltd,Payment advice 513160 ref 1444,2025-12-11,2025-12-11,2025-12-11,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000107,PMT-REF-000107,32316.11,INV-27786,Redwood Corp,2025-04-10,USD,CR,NTRY-000107,E2E-321941,32316.11,Redwood Corp Partners,Payment advice 497519 ref 6363,2025-04-10,2025-04-10,2025-04-10,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000108,PMT-REF-000108,23007.62,INV-54236,Metro Supply Chain,2025-06-03,EUR,CR,NTRY-000108,E2E-593152,23007.62,Metro Supply Chain Partners,Payment advice 975467 ref 2341,2025-06-03,2025-06-03,2025-06-03,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000109,PMT-REF-000109,1459.47,INV-80702,Blue Ocean Trading,2025-07-12,USD,CR,NTRY-000109,E2E-890870,1459.47,Blue Ocean Trading Inc,Payment advice 919182 ref 1659,2025-07-12,2025-07-12,2025-07-12,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000110,PMT-REF-000110,2035.98,INV-42411,Delta Commerce,2025-01-11,GBP,CR,NTRY-000110,E2E-596564,2035.98,Delta Commerce Corp,Payment advice 350132 ref 3068,2025-01-11,2025-01-11,2025-01-11,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000111,PMT-REF-000111,33638.21,INV-83920,Delta Commerce,2025-09-15,GBP,CR,NTRY-000111,E2E-275939,33638.21,Delta Commerce,Payment advice 904150 ref 7043,2025-09-15,2025-09-15,2025-09-15,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000112,PMT-REF-000112,30491.69,INV-25012,Sunrise Financial,2025-06-20,USD,CR,NTRY-000112,E2E-515922,30491.69,Financial Sunrise,Payment advice 427110 ref 7149,2025-06-20,2025-06-20,2025-06-20,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000113,PMT-REF-000113,47102.79,INV-35995,Global Logistics,2025-11-24,GBP,CR,NTRY-000113,E2E-991597,47102.79,Logistics Global,Payment advice 206851 ref 5941,2025-11-24,2025-11-24,2025-11-24,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000114,PMT-REF-000114,34370.82,INV-25866,Cascade Trading,2025-01-22,EUR,CR,NTRY-000114,E2E-172306,34370.82,Cascade Trading,Payment advice 793655 ref 7071,2025-01-22,2025-01-22,2025-01-22,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000115,PMT-REF-000115,25545.06,INV-54725,Acme Supply,2025-08-20,EUR,CR,NTRY-000115,E2E-766459,25545.06,Supply Acme,Payment advice 554582 ref 6934,2025-08-20,2025-08-20,2025-08-20,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000116,PMT-REF-000116,44632.96,INV-70258,Northern Star Corp,2025-08-27,USD,CR,NTRY-000116,E2E-912270,44632.96,Northern Star Corp,Payment advice 745830 ref 9817,2025-08-27,2025-08-27,2025-08-27,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000117,PMT-REF-000117,24433.13,INV-67091,Cascade Trading,2025-05-26,EUR,CR,NTRY-000117,E2E-392477,24433.13,Trading Cascade,Payment advice 971084 ref 2419,2025-05-26,2025-05-26,2025-05-26,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000118,PMT-REF-000118,44140.74,INV-41963,Redwood Corp,2025-11-12,GBP,CR,NTRY-000118,E2E-618317,44140.74,Redwood Corp,Payment advice 452737 ref 1470,2025-11-12,2025-11-12,2025-11-12,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000119,PMT-REF-000119,42622.17,INV-33834,Silver Stream Ltd,2025-04-25,EUR,CR,NTRY-000119,E2E-682789,42622.17,Silver Ltd Stream,Payment advice 393243 ref 5526,2025-04-25,2025-04-25,2025-04-25,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000120,PMT-REF-000120,1002.48,INV-35042,Global Logistics,2025-05-12,GBP,CR,NTRY-000120,E2E-824156,1002.48,Global Logistics,Payment advice 612311 ref 4937,2025-05-12,2025-05-12,2025-05-12,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000121,PMT-REF-000121,24066.61,INV-74332,Redwood Corp,2025-01-09,USD,CR,NTRY-000121,E2E-825391,24066.61,Redwood Corp,Payment advice 332360 ref 7625,2025-01-09,2025-01-09,2025-01-09,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000122,PMT-REF-000122,12543.61,INV-97026,Cascade Trading,2025-07-21,EUR,CR,NTRY-000122,E2E-468900,12543.61,Cascade Trading,Payment advice 546173 ref 6419,2025-07-21,2025-07-21,2025-07-21,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000123,PMT-REF-000123,35291.32,INV-45509,Summit Industries,2025-05-17,USD,CR,NTRY-000123,E2E-430876,35291.32,Industries Summit,Payment advice 856321 ref 4155,2025-05-17,2025-05-17,2025-05-17,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000124,PMT-REF-000124,6417.96,INV-80236,Sunrise Financial,2025-04-15,USD,CR,NTRY-000124,E2E-725780,6417.96,Sunrise Financial,Payment advice 389930 ref 9595,2025-04-15,2025-04-15,2025-04-15,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000125,PMT-REF-000125,14508.44,INV-23176,Delta Commerce,2025-06-12,USD,CR,NTRY-000125,E2E-114835,14508.44,Delta Commerce,Payment advice 288158 ref 5952,2025-06-12,2025-06-12,2025-06-12,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000126,PMT-REF-000126,35546.92,INV-26591,Sterling Partners,2025-01-24,USD,CR,NTRY-000126,E2E-768854,35546.92,Sterling Partners,Payment advice 831295 ref 3068,2025-01-24,2025-01-24,2025-01-24,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000127,PMT-REF-000127,43488.83,INV-74340,Pacific Imports,2025-01-07,GBP,CR,NTRY-000127,E2E-561865,43488.83,Pacific Imports,Payment advice 592198 ref 8843,2025-01-07,2025-01-07,2025-01-07,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000128,PMT-REF-000128,17364.94,INV-16734,Sterling Partners,2025-09-21,USD,CR,NTRY-000128,E2E-177680,17364.94,Partners Sterling,Payment advice 520172 ref 9056,2025-09-21,2025-09-21,2025-09-21,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000129,PMT-REF-000129,29062.55,INV-99974,Blue Ocean Trading,2025-03-22,USD,CR,NTRY-000129,E2E-224205,29062.55,Blue Ocean Trading,Payment advice 189318 ref 5066,2025-03-22,2025-03-22,2025-03-22,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000130,PMT-REF-000130,28124.62,INV-64548,Nexus Partners,2025-11-26,GBP,CR,NTRY-000130,E2E-498855,28124.62,Partners Nexus,Payment advice 913373 ref 9561,2025-11-26,2025-11-26,2025-11-26,GBP,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000131,PMT-REF-000131,22800.47,INV-68028,Summit Industries,2025-11-22,EUR,CR,NTRY-000131,E2E-739244,22800.47,Summit Industries,Payment advice 696251 ref 1986,2025-11-22,2025-11-22,2025-11-22,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000132,PMT-REF-000132,48025.38,INV-23006,Delta Commerce,2025-12-13,USD,CR,NTRY-000132,E2E-264686,48025.38,Delta Commerce,Payment advice 792509 ref 2330,2025-12-13,2025-12-13,2025-12-13,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000133,PMT-REF-000133,12373.33,INV-82350,Global Logistics,2025-03-25,USD,CR,NTRY-000133,E2E-405407,12373.33,Global Logistics,Payment advice 572387 ref 8699,2025-03-25,2025-03-25,2025-03-25,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000134,PMT-REF-000134,2115.67,INV-47762,Summit Industries,2025-09-09,USD,CR,NTRY-000134,E2E-545790,2115.67,Industries Summit,Payment advice 377405 ref 4241,2025-09-09,2025-09-09,2025-09-09,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000135,PMT-REF-000135,6181.43,INV-39466,Northern Star Corp,2025-05-25,USD,CR,NTRY-000135,E2E-723948,6181.43,Star Corp Northern,Payment advice 273982 ref 6039,2025-05-25,2025-05-25,2025-05-25,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000136,PMT-REF-000136,37573.41,INV-84607,Summit Industries,2025-09-01,USD,CR,NTRY-000136,E2E-833723,37573.41,Summit Industries,Payment advice 822131 ref 5982,2025-09-01,2025-09-01,2025-09-01,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000137,PMT-REF-000137,20424.17,INV-45683,Quantum Solutions,2025-10-25,EUR,CR,NTRY-000137,E2E-553014,20424.17,Quantum Solutions,Payment advice 184349 ref 1653,2025-10-25,2025-10-25,2025-10-25,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000138,PMT-REF-000138,36859.43,INV-89129,Sterling Partners,2025-01-14,USD,CR,NTRY-000138,E2E-901909,36859.43,Partners Sterling,Payment advice 807053 ref 1339,2025-01-14,2025-01-14,2025-01-14,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000139,PMT-REF-000139,33777.94,INV-45325,Cascade Trading,2025-01-21,USD,CR,NTRY-000139,E2E-391668,33777.94,Cascade Trading,Payment advice 644173 ref 8245,2025-01-21,2025-01-21,2025-01-21,USD,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000140,PMT-REF-000140,9483.71,INV-86720,Pinnacle Group,2025-12-18,EUR,CR,NTRY-000140,E2E-528184,9483.71,Group Pinnacle,Payment advice 592841 ref 6700,2025-12-18,2025-12-18,2025-12-18,EUR,CR,Fuzzy Counterparty,FUZZY_P4
PSR-000141,PMT-REF-000141,16998.77,INV-97835,Pacific Imports,2025-03-27,EUR,CR,NTRY-000141,,16998.77,Pacific Imports,PMT-REF-000141,2025-03-27,2025-03-27,2025-03-27,EUR,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000142,PMT-REF-000142,20876.43,INV-74942,Summit Industries,2025-08-10,GBP,CR,NTRY-000142,,20876.43,Summit Industries,PMT-REF-000142,2025-08-10,2025-08-10,2025-08-10,GBP,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000143,PMT-REF-000143,2316.51,INV-21542,Apex Distribution,2025-05-18,EUR,CR,NTRY-000143,,2316.51,Apex Distribution,PMT-REF-000143,2025-05-18,2025-05-18,2025-05-18,EUR,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000144,PMT-REF-000144,6238.12,INV-62976,Quantum Solutions,2025-01-01,GBP,CR,NTRY-000144,,6238.12,Quantum Solutions,PMT-REF-000144,2025-01-01,2025-01-01,2025-01-01,GBP,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000145,PMT-REF-000145,43533.69,INV-70552,Pinnacle Group,2025-01-28,USD,CR,NTRY-000145,,43533.69,Pinnacle Group,PMT-REF-000145,2025-01-28,2025-01-28,2025-01-28,USD,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000146,PMT-REF-000146,26162.75,INV-91609,Silver Stream Ltd,2025-12-13,EUR,CR,NTRY-000146,,26162.75,Silver Stream Ltd,PMT-REF-000146,2025-12-13,2025-12-13,2025-12-13,EUR,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000147,PMT-REF-000147,38119.53,INV-36680,Sterling Partners,2025-11-02,USD,CR,NTRY-000147,,38119.53,Sterling Partners,PMT-REF-000147,2025-11-02,2025-11-02,2025-11-02,USD,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000148,PMT-REF-000148,46419.8,INV-67424,Silver Stream Ltd,2025-03-07,USD,CR,NTRY-000148,,46419.8,Silver Stream Ltd,PMT-REF-000148,2025-03-07,2025-03-07,2025-03-07,USD,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000149,PMT-REF-000149,48670.77,INV-89806,Horizon Tech,2025-03-26,EUR,CR,NTRY-000149,,48670.77,Horizon Tech,PMT-REF-000149,2025-03-26,2025-03-26,2025-03-26,EUR,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000150,PMT-REF-000150,27766.53,INV-82384,Pinnacle Group,2025-02-20,USD,CR,NTRY-000150,,27766.53,Pinnacle Group,PMT-REF-000150,2025-02-20,2025-02-20,2025-02-20,USD,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000151,PMT-REF-000151,49616.73,INV-24871,Redwood Corp,2025-03-05,GBP,CR,NTRY-000151,,49616.73,Redwood Corp,PMT-REF-000151,2025-03-05,2025-03-05,2025-03-05,GBP,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000152,PMT-REF-000152,41691.09,INV-75323,Summit Industries,2025-10-09,GBP,CR,NTRY-000152,,41691.09,Summit Industries,PMT-REF-000152,2025-10-09,2025-10-09,2025-10-09,GBP,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000153,PMT-REF-000153,14034.53,INV-73242,Silver Stream Ltd,2025-05-13,EUR,CR,NTRY-000153,,14034.53,Silver Stream Ltd,PMT-REF-000153,2025-05-13,2025-05-13,2025-05-13,EUR,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000154,PMT-REF-000154,27787.62,INV-60277,Delta Commerce,2025-11-27,GBP,CR,NTRY-000154,,27787.62,Delta Commerce,PMT-REF-000154,2025-11-27,2025-11-27,2025-11-27,GBP,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000155,PMT-REF-000155,37441.48,INV-27892,Global Logistics,2025-06-02,EUR,CR,NTRY-000155,,37441.48,Global Logistics,PMT-REF-000155,2025-06-02,2025-06-02,2025-06-02,EUR,CR,Direct Match - PMT-REF No E2E,DIRECT_P2
PSR-000156,PMT-REF-000156,17323.82,INV-76550,Sterling Partners,2025-01-02,EUR,CR,NTRY-000156,,17323.82,Sterling Partners,INV-76550,2025-01-02,2025-01-02,2025-01-02,EUR,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000157,PMT-REF-000157,36439.52,INV-86931,Cascade Trading,2025-09-27,USD,CR,NTRY-000157,,36439.52,Cascade Trading,INV-86931,2025-09-27,2025-09-27,2025-09-27,USD,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000158,PMT-REF-000158,22604.1,INV-73483,Coastal Ventures,2025-07-03,GBP,CR,NTRY-000158,,22604.1,Coastal Ventures,INV-73483,2025-07-03,2025-07-03,2025-07-03,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000159,PMT-REF-000159,38262.2,INV-59441,Redwood Corp,2025-06-25,USD,CR,NTRY-000159,,38262.2,Redwood Corp,INV-59441,2025-06-25,2025-06-25,2025-06-25,USD,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000160,PMT-REF-000160,49048.34,INV-41300,Cascade Trading,2025-08-01,USD,CR,NTRY-000160,,49048.34,Cascade Trading,INV-41300,2025-08-01,2025-08-01,2025-08-01,USD,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000161,PMT-REF-000161,42872.64,INV-63841,Blue Ocean Trading,2025-06-23,GBP,CR,NTRY-000161,,42872.64,Blue Ocean Trading,INV-63841,2025-06-23,2025-06-23,2025-06-23,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000162,PMT-REF-000162,23912.32,INV-59968,Metro Supply Chain,2025-12-26,USD,CR,NTRY-000162,,23912.32,Metro Supply Chain,INV-59968,2025-12-26,2025-12-26,2025-12-26,USD,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000163,PMT-REF-000163,25018.77,INV-14852,Northern Star Corp,2025-10-06,GBP,CR,NTRY-000163,,25018.77,Northern Star Corp,INV-14852,2025-10-06,2025-10-06,2025-10-06,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000164,PMT-REF-000164,16933.74,INV-23154,Redwood Corp,2025-02-24,GBP,CR,NTRY-000164,,16933.74,Redwood Corp,INV-23154,2025-02-24,2025-02-24,2025-02-24,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000165,PMT-REF-000165,45566.86,INV-12011,Northern Star Corp,2025-08-14,GBP,CR,NTRY-000165,,45566.86,Northern Star Corp,INV-12011,2025-08-14,2025-08-14,2025-08-14,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000166,PMT-REF-000166,48512.86,INV-19807,Silver Stream Ltd,2025-05-24,EUR,CR,NTRY-000166,,48512.86,Silver Stream Ltd,INV-19807,2025-05-24,2025-05-24,2025-05-24,EUR,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000167,PMT-REF-000167,31351.34,INV-62098,Global Logistics,2025-07-01,GBP,CR,NTRY-000167,,31351.34,Global Logistics,INV-62098,2025-07-01,2025-07-01,2025-07-01,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000168,PMT-REF-000168,43037.44,INV-59808,Apex Distribution,2025-12-13,GBP,CR,NTRY-000168,,43037.44,Apex Distribution,INV-59808,2025-12-13,2025-12-13,2025-12-13,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000169,PMT-REF-000169,44428.21,INV-73956,Vista Industries,2025-01-19,GBP,CR,NTRY-000169,,44428.21,Vista Industries,INV-73956,2025-01-19,2025-01-19,2025-01-19,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000170,PMT-REF-000170,3886.83,INV-92727,Summit Industries,2025-05-05,GBP,CR,NTRY-000170,,3886.83,Summit Industries,INV-92727,2025-05-05,2025-05-05,2025-05-05,GBP,CR,Direct Match - Invoice No E2E No PMT-REF,DIRECT_P3
PSR-000171,PMT-REF-000171,4973.78,INV-22903,Pacific Imports,2025-09-04,USD,CR,NTRY-000171,PMT-REF-000171,4939.08,Pacific Imports,PMT-REF-000171 INV-22903,2025-09-04,2025-09-04,2025-09-04,USD,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000172,PMT-REF-000172,2776.55,INV-17355,Summit Industries,2025-07-16,EUR,CR,NTRY-000172,PMT-REF-000172,2755.01,Summit Industries,PMT-REF-000172 INV-17355,2025-07-16,2025-07-16,2025-07-16,EUR,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000173,PMT-REF-000173,26792.73,INV-84177,Sunrise Financial,2025-04-04,USD,CR,NTRY-000173,PMT-REF-000173,26796.69,Sunrise Financial,PMT-REF-000173 INV-84177,2025-04-04,2025-04-04,2025-04-04,USD,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000174,PMT-REF-000174,31175.66,INV-41566,Silver Stream Ltd,2025-11-19,USD,CR,NTRY-000174,PMT-REF-000174,31187.27,Silver Stream Ltd,PMT-REF-000174 INV-41566,2025-11-19,2025-11-19,2025-11-19,USD,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000175,PMT-REF-000175,23248.74,INV-97404,Acme Supply,2025-09-15,EUR,CR,NTRY-000175,PMT-REF-000175,23214.86,Acme Supply,PMT-REF-000175 INV-97404,2025-09-15,2025-09-15,2025-09-15,EUR,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000176,PMT-REF-000176,4156.16,INV-55293,Cascade Trading,2025-06-14,GBP,CR,NTRY-000176,PMT-REF-000176,4204.25,Cascade Trading,PMT-REF-000176 INV-55293,2025-06-14,2025-06-14,2025-06-14,GBP,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000177,PMT-REF-000177,23113.37,INV-49599,Delta Commerce,2025-08-01,EUR,CR,NTRY-000177,PMT-REF-000177,23118.71,Delta Commerce,PMT-REF-000177 INV-49599,2025-08-01,2025-08-01,2025-08-01,EUR,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000178,PMT-REF-000178,28810.17,INV-85341,Summit Industries,2025-06-12,USD,CR,NTRY-000178,PMT-REF-000178,28859.06,Summit Industries,PMT-REF-000178 INV-85341,2025-06-12,2025-06-12,2025-06-12,USD,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000179,PMT-REF-000179,14086.78,INV-84177,Blue Ocean Trading,2025-12-03,GBP,CR,NTRY-000179,PMT-REF-000179,14111.62,Blue Ocean Trading,PMT-REF-000179 INV-84177,2025-12-03,2025-12-03,2025-12-03,GBP,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000180,PMT-REF-000180,38899.18,INV-40162,Nexus Partners,2025-07-13,USD,CR,NTRY-000180,PMT-REF-000180,38931.01,Nexus Partners,PMT-REF-000180 INV-40162,2025-07-13,2025-07-13,2025-07-13,USD,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000181,PMT-REF-000181,34049.34,INV-96400,Northern Star Corp,2025-12-14,USD,CR,NTRY-000181,PMT-REF-000181,34004.18,Northern Star Corp,PMT-REF-000181 INV-96400,2025-12-14,2025-12-14,2025-12-14,USD,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000182,PMT-REF-000182,15792.18,INV-67779,Blue Ocean Trading,2025-11-17,EUR,CR,NTRY-000182,PMT-REF-000182,15755.57,Blue Ocean Trading,PMT-REF-000182 INV-67779,2025-11-17,2025-11-17,2025-11-17,EUR,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000183,PMT-REF-000183,45526.58,INV-52823,Pinnacle Group,2025-04-06,USD,CR,NTRY-000183,PMT-REF-000183,45533.2,Pinnacle Group,PMT-REF-000183 INV-52823,2025-04-06,2025-04-06,2025-04-06,USD,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000184,PMT-REF-000184,26777.19,INV-45720,Sunrise Financial,2025-05-20,EUR,CR,NTRY-000184,PMT-REF-000184,26825.55,Sunrise Financial,PMT-REF-000184 INV-45720,2025-05-20,2025-05-20,2025-05-20,EUR,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000185,PMT-REF-000185,37454.69,INV-54396,Pacific Imports,2025-09-16,USD,CR,NTRY-000185,PMT-REF-000185,37447.64,Pacific Imports,PMT-REF-000185 INV-54396,2025-09-16,2025-09-16,2025-09-16,USD,CR,Short Ledger - E2E ID Minor Variance,SHORT_LEDGER_P1_P7
PSR-000186,PMT-REF-000186,43076.96,INV-98395,Metro Supply Chain,2025-11-06,EUR,CR,NTRY-000186,,43081.48,Metro Supply Chain,INV-98395,2025-11-06,2025-11-06,2025-11-06,EUR,CR,Short Ledger - Invoice Minor Variance No E2E,SHORT_LEDGER_P3_P7
PSR-000187,PMT-REF-000187,1188.97,INV-80329,Pacific Imports,2025-09-09,EUR,CR,NTRY-000187,,1222.61,Pacific Imports,INV-80329,2025-09-09,2025-09-09,2025-09-09,EUR,CR,Short Ledger - Invoice Minor Variance No E2E,SHORT_LEDGER_P3_P7
PSR-000188,PMT-REF-000188,29435.72,INV-93695,Coastal Ventures,2025-02-28,GBP,CR,NTRY-000188,,29424.02,Coastal Ventures,INV-93695,2025-02-28,2025-02-28,2025-02-28,GBP,CR,Short Ledger - Invoice Minor Variance No E2E,SHORT_LEDGER_P3_P7
